|||FirstProcess||OTHER|0|||PSTests.Parallel|PSObjectTests|TestMemberSetIsNotProperty||METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|Add|System.Management.Automation.PSMemberInfo member|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|GetTypeTable||METHOD|2|
|System.Management.Automation|PSMemberInfoCollection|Add|System.Management.Automation.PSMemberInfo member|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|get_InstanceMembers||METHOD|2|
|System.Management.Automation|PSMemberInfoCollection|Add|System.Management.Automation.PSMemberInfo member|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|Base|object obj|METHOD|2|
|System.Management.Automation|PSMemberInfoCollection|Add|System.Management.Automation.PSMemberInfo member|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|get_MemberResolution||METHOD|8|
|System.Management.Automation|PSMemberInfoCollection|Add|System.Management.Automation.PSMemberInfo member|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|AsPSObject|object obj|METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|get_InstanceMembers||METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|AsPSObject|object obj|METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|TypeTableGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|AdapterGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|DotNetGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System|Func|Invoke|object arg|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|MappedInternalAdapterSet|object obj|METHOD|1|
